City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,San Pedro,PH,78.01,overcast clouds,14.35,121.02,OYO 412 Viewfort Venue
3,Trelew,AR,79.56,overcast clouds,-43.25,-65.31,Hotel Touring Club
4,Arraial Do Cabo,BR,80.6,broken clouds,-22.97,-42.03,Pousada Porto Praia
5,Puerto Ayora,EC,77.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
6,Tarsus,TR,64.4,clear sky,36.92,34.88,Osmanli Marco Pasha Hotel
11,Faanui,PF,78.33,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
13,Broome,US,69.8,clear sky,42.25,-75.83,Chenango Valley State Park
15,Westport,US,73.99,clear sky,41.14,-73.36,The Westport Inn
16,Tocopilla,CL,67.96,few clouds,-22.09,-70.2,Hotel Galvarino
17,Carnarvon,AU,66.2,clear sky,-24.87,113.63,Hospitality Carnarvon
18,Port Alfred,ZA,61.54,overcast clouds,-33.59,26.89,The Halyards Hotel
19,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
20,Hambantota,LK,75.2,light rain,6.12,81.12,Bungalow 63
21,Gizo,SB,82.6,light rain,-8.1,156.84,Imagination Island
22,Morgantown,US,75.99,clear sky,39.63,-79.96,Morgantown Marriott at Waterfront Place
23,Moron,AR,71.01,light rain,-34.65,-58.62,Hotel Morón
24,Vila Franca Do Campo,PT,64.4,scattered clouds,37.72,-25.43,Pestana Bahia Praia
27,Yakuplu,TR,63.0,clear sky,40.99,28.68,ibis Istanbul Esenyurt
35,Hilo,US,82.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
37,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
38,Pimentel,PE,73.4,clear sky,-6.84,-79.93,Casona Del Muelle
41,Shreveport,US,82.0,overcast clouds,32.53,-93.75,Eldorado Resort Casino Shreveport
43,Rikitea,PF,73.98,broken clouds,-23.12,-134.97,Pension Maro'i
46,Cidreira,BR,66.83,moderate rain,-30.18,-50.21,Hotel Castelo
50,Peniche,PT,60.01,clear sky,39.36,-9.38,Hotel Star inn Peniche
51,Waw,SS,77.74,clear sky,7.7,28.0,Universal Gab Hotel
52,Goderich,CA,73.4,clear sky,43.75,-81.72,Harmony Inn
54,Vaini,TO,77.0,few clouds,-21.2,-175.2,Keleti Beach Resort
56,Avera,US,80.6,broken clouds,33.19,-82.53,
59,Castro,BR,81.14,scattered clouds,-24.79,-50.01,CHACARA BAILLY
62,Glens Falls,US,69.01,clear sky,43.31,-73.64,Super 8 by Wyndham Queensbury Glens Falls
68,Kapaa,US,80.6,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
70,Road Town,VG,84.2,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
73,Florida,US,77.0,overcast clouds,28.75,-82.5,Sportsmens Cove
75,Roma,US,73.4,clear sky,43.21,-75.46,Wingate By Wyndham Rome
77,Lata,PT,60.01,clear sky,40.16,-8.33,Casa Maquia
78,Avarua,CK,78.8,clear sky,-21.21,-159.78,Paradise Inn
79,Albany,US,70.0,clear sky,42.6,-73.97,
80,Belmonte,BR,80.6,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
81,Codrington,AU,65.44,clear sky,-38.27,141.97,Codrington Gardens Bed And Breakfast
84,Kasaragod,IN,78.8,mist,12.5,75.0,Thalathoor Heritage
85,Port Blair,IN,80.65,scattered clouds,11.67,92.75,Fortune Resort Bay Island
86,Victoria,HK,73.0,overcast clouds,22.29,114.16,Mini Hotel Central
87,Capim Grosso,BR,82.45,clear sky,-11.38,-40.01,Hotel Veloso
88,Karwar,IN,74.57,clear sky,14.8,74.13,Netalco Connects
91,Faya,SA,64.4,clear sky,18.39,42.45,مقبرة ال مجمل
93,Nabire,ID,75.85,broken clouds,-3.37,135.48,Hotel Nusantara Nabire
94,Hyderabad,IN,64.4,clear sky,17.38,78.47,"Taj Krishna, Hyderabad"
98,Cabo San Lucas,MX,84.2,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
99,Dinguiraye,GN,75.31,clear sky,11.3,-10.72,
106,Erzin,TR,70.0,clear sky,36.96,36.2,Artemis Otel
109,Butaritari,KI,82.4,overcast clouds,3.07,172.79,Isles Sunset Lodge
112,Port Hedland,AU,75.2,clear sky,-20.32,118.57,The Esplanade Hotel
113,Atuona,PF,77.95,few clouds,-9.8,-139.03,Villa Enata
115,Ahuimanu,US,82.4,broken clouds,21.44,-157.84,Paradise Bay Resort
118,Mar Del Plata,AR,73.4,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
119,Hit,IQ,68.14,clear sky,33.64,42.83,Aboody Alhachem
122,Bethel,US,75.2,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
125,Quang Ngai,VN,71.71,very heavy rain,15.12,108.8,Central Hotel
