City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Nichinan,JP,31.6,131.37,56.25,72,86,8.1,overcast clouds
1,San Pedro,PH,14.35,121.02,78.01,94,90,3.36,overcast clouds
2,Ushuaia,AR,-54.8,-68.3,51.8,37,0,16.11,clear sky
3,Trelew,AR,-43.25,-65.31,79.56,38,95,16.69,overcast clouds
4,Arraial Do Cabo,BR,-22.97,-42.03,80.6,83,75,11.41,broken clouds
5,Puerto Ayora,EC,-0.74,-90.35,77.0,69,40,13.87,scattered clouds
6,Tarsus,TR,36.92,34.88,64.4,59,0,2.24,clear sky
7,Lebu,CL,-37.62,-73.65,56.86,77,0,21.0,clear sky
8,Hovd,MN,48.01,91.64,32.83,73,12,7.52,few clouds
9,Slavyanka,RU,42.86,131.38,26.2,82,0,6.64,clear sky
10,Ust-Koksa,RU,50.27,85.61,24.91,91,94,5.21,overcast clouds
11,Faanui,PF,-16.48,-151.75,78.33,81,100,15.14,light rain
12,Bluff,NZ,-46.6,168.33,48.99,86,2,4.0,clear sky
13,Broome,US,42.25,-75.83,69.8,37,1,8.05,clear sky
14,Esperance,AU,-33.87,121.9,53.6,81,0,17.22,clear sky
15,Westport,US,41.14,-73.36,73.99,48,1,5.82,clear sky
16,Tocopilla,CL,-22.09,-70.2,67.96,48,16,7.02,few clouds
17,Carnarvon,AU,-24.87,113.63,66.2,55,10,14.99,clear sky
18,Port Alfred,ZA,-33.59,26.89,61.54,60,100,7.02,overcast clouds
19,Georgetown,MY,5.41,100.34,77.0,94,20,4.7,few clouds
20,Hambantota,LK,6.12,81.12,75.2,100,20,2.24,light rain
21,Gizo,SB,-8.1,156.84,82.6,74,100,6.2,light rain
22,Morgantown,US,39.63,-79.96,75.99,36,1,3.36,clear sky
23,Moron,AR,-34.65,-58.62,71.01,62,100,3.0,light rain
24,Vila Franca Do Campo,PT,37.72,-25.43,64.4,82,40,11.41,scattered clouds
25,Zhigansk,RU,66.77,123.37,-9.35,87,100,22.91,overcast clouds
26,Flinders,AU,-34.58,150.86,54.0,84,0,1.01,clear sky
27,Yakuplu,TR,40.99,28.68,63.0,77,0,9.17,clear sky
28,Tuktoyaktuk,CA,69.45,-133.04,-2.2,84,90,13.87,overcast clouds
29,Sayyan,YE,15.17,44.32,53.6,43,0,7.16,clear sky
30,Jiayuguan,CN,39.82,98.3,32.95,71,0,1.12,clear sky
31,Manzanillo,CU,20.34,-77.12,85.23,72,26,10.29,scattered clouds
32,Bilibino,RU,68.05,166.44,-3.42,90,97,1.5,overcast clouds
33,Bredasdorp,ZA,-34.53,20.04,51.8,71,18,1.12,few clouds
34,Solnechnyy,RU,50.72,136.63,9.36,88,49,2.21,scattered clouds
35,Hilo,US,19.73,-155.09,82.4,65,75,8.05,broken clouds
36,Geraldton,AU,-28.77,114.6,59.0,67,40,6.93,scattered clouds
37,Souillac,MU,-20.52,57.52,73.4,73,40,10.29,scattered clouds
38,Pimentel,PE,-6.84,-79.93,73.4,56,0,20.8,clear sky
39,Thompson,CA,55.74,-97.86,17.6,85,75,12.75,light snow
40,Punta Arenas,CL,-53.15,-70.92,51.8,71,75,12.75,broken clouds
41,Shreveport,US,32.53,-93.75,82.0,65,90,11.41,overcast clouds
42,Hofn,IS,64.25,-15.21,48.2,100,90,12.75,light intensity drizzle
43,Rikitea,PF,-23.12,-134.97,73.98,76,57,16.33,broken clouds
44,Kelcyre,AL,40.31,20.19,53.01,92,0,3.29,clear sky
45,Yumen,CN,40.28,97.2,28.36,82,0,2.35,clear sky
46,Cidreira,BR,-30.18,-50.21,66.83,91,100,17.52,moderate rain
47,Busselton,AU,-33.65,115.33,46.99,98,42,20.18,scattered clouds
48,Mataura,NZ,-46.19,168.86,48.99,86,15,4.0,few clouds
49,Barrow,US,71.29,-156.79,8.6,78,75,10.29,broken clouds
50,Peniche,PT,39.36,-9.38,60.01,88,0,4.09,clear sky
51,Waw,SS,7.7,28.0,77.74,45,1,3.96,clear sky
52,Goderich,CA,43.75,-81.72,73.4,38,0,11.41,clear sky
53,Saskylakh,RU,71.92,114.08,8.8,94,100,28.19,snow
54,Vaini,TO,-21.2,-175.2,77.0,78,20,6.93,few clouds
55,Nanortalik,GL,60.14,-45.24,27.52,95,100,12.68,overcast clouds
56,Avera,US,33.19,-82.53,80.6,61,75,8.05,broken clouds
57,Port Elizabeth,ZA,-33.92,25.57,57.2,71,0,8.05,clear sky
58,Kruisfontein,ZA,-34.0,24.73,54.0,82,0,7.16,clear sky
59,Castro,BR,-24.79,-50.01,81.14,49,29,2.59,scattered clouds
60,Shiyan,CN,32.65,110.78,53.01,51,0,1.34,clear sky
61,Ust-Nera,RU,64.57,143.2,-16.55,79,51,3.13,broken clouds
62,Glens Falls,US,43.31,-73.64,69.01,45,1,5.82,clear sky
63,Hermanus,ZA,-34.42,19.23,54.0,78,65,7.38,broken clouds
64,Vestmannaeyjar,IS,63.44,-20.27,47.64,89,100,26.06,light rain
65,Hobart,AU,-42.88,147.33,54.0,76,0,6.93,clear sky
66,Katsuura,JP,35.13,140.3,53.6,54,75,10.29,broken clouds
67,Brighton,GB,50.83,-0.14,57.0,100,89,5.01,overcast clouds
68,Kapaa,US,22.08,-159.32,80.6,78,40,14.99,scattered clouds
69,Alta Floresta,BR,-9.88,-56.09,85.57,59,100,2.17,overcast clouds
70,Road Town,VG,18.42,-64.62,84.2,74,40,11.41,scattered clouds
71,Okhotsk,RU,59.38,143.3,3.04,87,98,18.19,overcast clouds
72,Lyuban,BY,52.8,28.0,35.98,87,0,4.85,clear sky
73,Florida,US,28.75,-82.5,77.0,94,90,9.17,overcast clouds
74,Henties Bay,NA,-22.12,14.28,59.0,79,0,7.0,clear sky
75,Roma,US,43.21,-75.46,73.4,33,1,2.8,clear sky
76,Kuusamo,FI,65.97,29.18,30.2,86,75,8.05,broken clouds
77,Lata,PT,40.16,-8.33,60.01,88,0,0.96,clear sky
78,Avarua,CK,-21.21,-159.78,78.8,78,3,9.64,clear sky
79,Albany,US,42.6,-73.97,70.0,36,0,3.13,clear sky
80,Belmonte,BR,-15.86,-38.88,80.6,65,20,16.11,few clouds
81,Codrington,AU,-38.27,141.97,65.44,51,0,12.71,clear sky
82,Kodiak,US,57.79,-152.41,42.8,52,1,3.36,clear sky
83,Dikson,RU,73.51,80.55,6.15,95,100,9.48,overcast clouds
84,Kasaragod,IN,12.5,75.0,78.8,88,20,3.36,mist
85,Port Blair,IN,11.67,92.75,80.65,83,34,13.15,scattered clouds
86,Victoria,HK,22.29,114.16,73.0,74,100,1.99,overcast clouds
87,Capim Grosso,BR,-11.38,-40.01,82.45,44,10,8.48,clear sky
88,Karwar,IN,14.8,74.13,74.57,56,0,7.61,clear sky
89,Nikolskoye,RU,59.7,30.79,41.0,75,0,17.9,clear sky
90,Beringovskiy,RU,63.05,179.32,37.38,87,98,10.07,light rain
91,Faya,SA,18.39,42.45,64.4,82,0,4.92,clear sky
92,Sharan,RU,54.82,54.0,32.14,94,100,13.04,overcast clouds
93,Nabire,ID,-3.37,135.48,75.85,86,71,3.83,broken clouds
94,Hyderabad,IN,17.38,78.47,64.4,68,0,5.48,clear sky
95,Orlovskiy,RU,46.87,42.06,46.42,67,72,2.51,broken clouds
96,Qaanaaq,GL,77.48,-69.36,-6.52,69,0,7.0,clear sky
97,Ahipara,NZ,-35.17,173.17,59.34,81,38,10.11,scattered clouds
98,Cabo San Lucas,MX,22.89,-109.91,84.2,53,5,20.8,clear sky
99,Dinguiraye,GN,11.3,-10.72,75.31,32,0,1.68,clear sky
100,Yellowknife,CA,62.46,-114.35,26.6,79,75,7.7,broken clouds
101,Clyde River,CA,70.47,-68.59,-2.2,70,1,13.87,clear sky
102,Upernavik,GL,72.79,-56.15,-0.56,81,54,7.74,broken clouds
103,Torbay,CA,47.67,-52.73,37.99,84,90,14.99,shower rain
104,Asau,RO,46.43,26.4,41.0,97,72,2.21,broken clouds
105,Mombetsu,JP,44.35,143.35,34.0,83,100,8.99,overcast clouds
106,Erzin,TR,36.96,36.2,70.0,50,1,4.0,clear sky
107,Bonavista,CA,48.65,-53.11,36.0,79,80,4.7,broken clouds
108,Verkhnevilyuysk,RU,63.45,120.32,12.09,96,100,7.87,snow
109,Butaritari,KI,3.07,172.79,82.4,73,100,11.77,overcast clouds
110,Cayenne,GF,4.93,-52.33,87.8,62,75,12.75,broken clouds
111,Naryan-Mar,RU,67.67,53.09,24.55,97,74,5.66,broken clouds
112,Port Hedland,AU,-20.32,118.57,75.2,78,0,11.41,clear sky
113,Atuona,PF,-9.8,-139.03,77.95,71,20,12.86,few clouds
114,Bianzhuang,CN,34.85,118.04,46.15,54,0,1.63,clear sky
115,Ahuimanu,US,21.44,-157.84,82.4,74,75,9.17,broken clouds
116,New Norfolk,AU,-42.78,147.06,54.0,68,100,3.27,overcast clouds
117,Ginir,ET,7.13,40.7,57.58,69,0,5.68,clear sky
118,Mar Del Plata,AR,-38.0,-57.56,73.4,53,75,10.29,broken clouds
119,Hit,IQ,33.64,42.83,68.14,51,7,5.35,clear sky
120,Pavlodar,KZ,52.3,76.95,37.4,86,90,20.13,overcast clouds
121,Cozumel,MX,20.51,-86.95,86.0,70,40,13.87,scattered clouds
122,Bethel,US,41.37,-73.41,75.2,27,1,6.93,clear sky
123,Waipawa,NZ,-41.41,175.52,50.0,93,100,26.4,moderate rain
124,Longyearbyen,SJ,78.22,15.64,23.0,73,75,4.7,light snow
125,Quang Ngai,VN,15.12,108.8,71.71,95,100,13.06,very heavy rain
126,Saint-Philippe,RE,-21.36,55.77,73.4,73,20,12.75,few clouds
127,Sao Joao Da Barra,BR,-21.64,-41.05,84.2,70,20,13.87,few clouds
128,Luderitz,NA,-26.65,15.16,60.44,55,0,30.04,clear sky
129,Dehloran,IR,32.69,47.27,77.32,38,100,4.25,overcast clouds
130,Aurangabad,IN,19.88,75.33,63.01,43,0,4.63,clear sky
131,Tilichiki,RU,60.47,166.1,4.14,92,1,11.41,clear sky
132,Sinop,TR,41.77,34.87,48.25,75,2,1.34,clear sky
133,Hami,CN,42.8,93.45,40.75,56,79,10.63,broken clouds
134,Chany,RU,55.31,76.76,32.23,94,38,12.71,scattered clouds
135,Tambopata,PE,-12.73,-69.18,93.2,56,20,4.7,few clouds
136,Tuatapere,NZ,-46.13,167.68,48.99,86,18,4.0,few clouds
