City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Leeton,AU,-34.57,146.4,59.0,62,20,8.05,few clouds
1,Tuktoyaktuk,CA,69.45,-133.04,-0.4,84,90,12.75,overcast clouds
2,Bambous Virieux,MU,-20.34,57.76,73.99,73,20,12.75,few clouds
3,Ponta Do Sol,PT,32.67,-17.1,66.99,68,40,8.05,scattered clouds
4,Hilo,US,19.73,-155.09,71.6,83,90,6.93,light rain
5,Faanui,PF,-16.48,-151.75,78.24,82,84,16.15,broken clouds
6,Mataura,NZ,-46.19,168.86,37.15,95,2,1.97,clear sky
7,Ushuaia,AR,-54.8,-68.3,51.8,20,0,16.11,clear sky
8,Hithadhoo,MV,-0.6,73.08,83.97,76,97,13.87,moderate rain
9,Dicabisagan,PH,17.08,122.42,77.45,83,76,7.58,moderate rain
10,Vaini,TO,-21.2,-175.2,69.8,94,40,4.7,scattered clouds
11,Puerto Baquerizo Moreno,EC,-0.9,-89.6,75.2,69,75,6.93,broken clouds
12,Marfino,RU,55.7,37.38,34.0,84,0,15.66,clear sky
13,Bojnurd,IR,37.47,57.33,39.2,69,0,2.24,clear sky
14,Pecos,US,31.42,-103.49,82.4,23,1,14.99,clear sky
15,Geraldton,AU,-28.77,114.6,59.0,72,90,12.75,overcast clouds
16,Georgetown,MY,5.41,100.34,78.8,88,20,2.93,few clouds
17,Teguldet,RU,57.31,88.17,33.76,92,97,16.02,overcast clouds
18,Bredasdorp,ZA,-34.53,20.04,59.0,54,0,10.29,clear sky
19,Punta Arenas,CL,-53.15,-70.92,42.8,87,90,14.99,light rain
20,Cape Town,ZA,-33.93,18.42,60.01,47,20,20.8,few clouds
21,Cheremukhovo,RU,60.35,59.99,25.75,94,100,6.11,overcast clouds
22,Puerto Ayora,EC,-0.74,-90.35,73.0,73,75,14.99,broken clouds
23,Okha,RU,53.57,142.95,29.35,97,100,17.47,overcast clouds
24,Serdobsk,RU,52.46,44.22,32.61,93,1,9.33,clear sky
