City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2020-11-07 18:17:47,-33.65,115.33,55.0,66,12,3.06
1,Qena,EG,2020-11-07 18:20:08,26.16,32.72,70.54,42,82,7.76
2,Kamina,CD,2020-11-07 18:20:08,-8.74,24.99,69.24,91,30,6.11
3,Strezhevoy,RU,2020-11-07 18:20:08,60.73,77.59,35.6,74,0,4.47
4,Guararema,BR,2020-11-07 18:20:09,-23.41,-46.03,82.4,42,0,5.82
5,Tasiilaq,GL,2020-11-07 18:20:09,65.61,-37.64,28.4,92,90,4.7
6,Saint George,US,2020-11-07 18:15:21,37.1,-113.58,59.0,30,40,23.04
7,Puerto Madryn,AR,2020-11-07 18:20:09,-42.77,-65.04,67.98,36,54,21.45
8,Sembe,CG,2020-11-07 18:20:09,1.65,14.58,72.75,91,70,1.39
9,Emba,KZ,2020-11-07 18:20:10,48.83,58.14,41.67,76,100,19.37
10,Pokhara,NP,2020-11-07 18:20:10,28.23,83.98,59.04,70,21,3.22
11,Acari,PE,2020-11-07 18:20:10,-15.43,-74.62,71.4,56,62,10.27
12,Cidreira,BR,2020-11-07 18:16:41,-30.18,-50.21,71.06,72,7,16.06
13,Babai,IN,2020-11-07 18:20:10,22.7,77.93,62.82,40,0,2.59
14,Likasi,CD,2020-11-07 18:20:10,-10.98,26.73,74.35,41,6,2.53
15,Boysun,UZ,2020-11-07 18:20:11,38.21,67.2,56.1,27,92,4.21
16,Bilma,NE,2020-11-07 18:20:11,18.69,12.92,74.28,25,3,8.21
17,Oistins,BB,2020-11-07 18:17:12,13.07,-59.53,86.0,74,40,17.22
18,Eydhafushi,MV,2020-11-07 18:20:11,5.1,73.07,82.71,79,61,16.33
19,Seredeyskiy,RU,2020-11-07 18:20:12,54.05,35.23,41.86,93,3,6.4
20,Shahreza,IR,2020-11-07 18:20:12,32.03,51.88,47.95,45,90,5.93
21,Souillac,MU,2020-11-07 18:19:47,-20.52,57.52,73.4,78,40,8.05
22,Hithadhoo,MV,2020-11-07 18:20:12,-0.6,73.08,83.52,72,86,8.19
23,Dzilam Gonzalez,MX,2020-11-07 18:20:12,21.28,-88.93,84.27,68,9,7.05
24,Bambous Virieux,MU,2020-11-07 18:20:12,-20.34,57.76,73.4,78,40,8.05
25,Kousseri,CM,2020-11-07 18:20:12,12.08,15.03,82.4,28,3,5.82
26,Berlevag,NO,2020-11-07 18:17:14,70.86,29.09,39.2,80,90,25.28
27,Road Town,VG,2020-11-07 18:20:13,18.42,-64.62,84.99,74,40,9.17
28,Arraial Do Cabo,BR,2020-11-07 18:15:23,-22.97,-42.03,77.0,73,75,4.7
29,Sao Filipe,CV,2020-11-07 18:20:13,14.9,-24.5,79.92,76,88,12.12
30,Mpanda,TZ,2020-11-07 18:20:13,-6.37,31.04,75.27,57,67,2.62
31,Husavik,IS,2020-11-07 18:16:49,66.04,-17.34,42.8,60,75,17.22
32,Nalut,LY,2020-11-07 18:20:14,30.33,10.85,64.8,36,0,9.64
33,Mahebourg,MU,2020-11-07 18:18:22,-20.41,57.7,73.4,78,40,8.05
34,Bredasdorp,ZA,2020-11-07 18:19:34,-34.53,20.04,60.8,72,63,9.17
35,Korla,CN,2020-11-07 18:17:44,41.76,86.15,37.6,64,0,3.09
36,Galle,LK,2020-11-07 18:20:14,6.04,80.22,79.93,81,34,1.1
37,Chuy,UY,2020-11-07 18:20:14,-33.7,-53.46,69.55,70,24,12.44
38,Port Elizabeth,ZA,2020-11-07 18:16:31,-33.92,25.57,64.4,88,0,3.36
39,Gwadar,PK,2020-11-07 18:20:15,25.12,62.33,74.61,73,0,5.03
40,Namibe,AO,2020-11-07 18:20:15,-15.2,12.15,71.28,68,17,13.09
41,Wiwili,NI,2020-11-07 18:20:15,13.63,-85.83,68.0,94,90,4.7
42,Autazes,BR,2020-11-07 18:20:15,-3.58,-59.13,93.74,47,85,4.43
43,Iqaluit,CA,2020-11-07 18:17:17,63.75,-68.51,10.4,72,75,11.41
44,Jamestown,US,2020-11-07 18:16:29,42.1,-79.24,66.2,42,1,9.17
45,Remedios,CU,2020-11-07 18:20:16,22.49,-79.55,77.0,78,90,12.75
46,Longyearbyen,SJ,2020-11-07 18:17:15,78.22,15.64,33.8,80,75,5.82
47,Kosa,RU,2020-11-07 18:20:16,59.94,55.0,31.41,97,97,5.19
48,Kudahuvadhoo,MV,2020-11-07 18:20:16,2.67,72.89,84.16,68,48,6.69
49,East London,ZA,2020-11-07 18:16:46,-33.02,27.91,71.6,83,0,9.17
50,Ushuaia,AR,2020-11-07 18:20:17,-54.8,-68.3,60.8,44,75,16.11
51,Sandy Bay,AU,2020-11-07 18:20:17,-42.91,147.35,42.01,86,0,8.05
52,Ribeira Grande,PT,2020-11-07 18:20:17,38.52,-28.7,60.8,77,40,11.41
53,Abnub,EG,2020-11-07 18:17:31,27.27,31.15,67.91,44,81,5.46
54,Bazaliya,UA,2020-11-07 18:20:17,49.71,26.47,44.37,92,10,3.83
55,Hermanus,ZA,2020-11-07 18:16:28,-34.42,19.23,64.99,58,5,8.99
56,Hualmay,PE,2020-11-07 18:20:18,-11.1,-77.61,68.05,66,5,11.54
57,Dospat,BG,2020-11-07 18:20:18,41.65,24.17,39.25,80,94,4.27
58,Pestovo,RU,2020-11-07 18:20:18,58.59,35.8,43.61,89,4,11.27
59,Praia Da Vitoria,PT,2020-11-07 18:20:18,38.73,-27.07,62.01,77,40,19.57
60,Cape Town,ZA,2020-11-07 18:20:18,-33.93,18.42,64.99,82,75,13.87
